TH,TL,s,x/q0,y/q1,z/q2,bx/q4,by/acc_heading,bz,accuracy
0,49948c0,15,5,240,-970,14,0,,0
0,49948c0,9,18,-26,-999,,,,0
0,49948c0,10,2,-5,-24,,,,0
0,49948c0,11,15,-957,-288,-5,0,,
0,49948c0,3,326416,178512,1061,,,,0
0,49948c0,20,16,-957,-288,-4,0,,
0,4996b08,4,-324,-236,276,,,,3
0,4996b08,16,-915,610,-915,-591,846,-1192,3
0,4996b08,1,14,-23,-1031,0,0,0,0
0,4996b08,15,5,240,-970,14,0,,0
0,4996b08,9,18,-26,-999,,,,0
0,4996b08,10,-4,2,-31,,,,0
0,4996b08,11,15,-957,-289,-5,0,,
0,4996b08,3,326405,178519,1061,,,,0
0,4996b08,20,15,-957,-288,-4,0,,
0,4998d55,4,286,-53,398,,,,3
0,4998d55,16,-305,793,-793,-591,846,-1192,3
0,4998d55,1,11,-18,-1022,0,0,0,0
0,4998d55,2,4506,-7597,41155,,,,3
0,4998d55,14,-34200,-9300,24149,-38706,-1702,-17005,3
0,4998d55,15,5,240,-970,14,0,,0
0,4998d55,9,18,-25,-999,,,,0
0,4998d55,10,-7,7,-23,,,,0
0,4998d55,11,15,-957,-289,-5,0,,
0,4998d55,3,326405,178519,1061,,,,0
0,4998d55,20,15,-957,-288,-4,0,,
0,499af95,4,-19,-175,398,,,,3
0,499af95,16,-610,671,-793,-591,846,-1192,3
0,499af95,1,12,-23,-1020,0,0,0,0
0,499af95,15,5,240,-970,14,0,,0
0,499af95,9,18,-25,-999,,,,0
0,499af95,10,-5,2,-21,,,,0
0,499af95,11,15,-957,-289,-5,0,,
0,499af95,3,326412,178519,1054,,,,0
0,499af95,20,15,-957,-288,-4,0,,
0,499d1ea,4,41,7,-394,,,,3
0,499d1ea,16,-549,854,-1586,-591,846,-1192,3
0,499d1ea,1,15,-29,-1026,0,0,0,0
0,499d1ea,2,4956,-8347,40855,,,,3
0,499d1ea,14,-33750,-10050,23849,-38706,-1702,-17005,3
0,499d1ea,15,5,240,-970,14,0,,0
0,499d1ea,9,18,-25,-999,,,,0
0,499d1ea,10,-3,-3,-27,,,,0
0,499d1ea,11,15,-957,-288,-5,0,,
0,499d1ea,3,326421,178519,1061,,,,0
0,499d1ea,20,15,-957,-288,-4,0,,
0,499f426,4,-446,-114,398,,,,3
0,499f426,16,-1037,732,-793,-591,846,-1192,3
0,499f426,1,32,-36,-1025,0,0,0,0
0,499f426,15,5,240,-970,14,0,,0
0,499f426,9,18,-25,-999,,,,0
0,499f426,10,13,-10,-25,,,,0
0,499f426,11,15,-957,-288,-5,0,,
0,499f426,3,326421,178519,1061,,,,0
0,499f426,20,15,-957,-288,-4,0,,
0,49a1677,4,408,373,215,,,,3
0,49a1677,16,-183,1220,-976,-591,846,-1192,3
0,49a1677,1,14,-16,-1022,0,0,0,0
0,49a1677,2,5706,-7597,41905,,,,3
0,49a1677,14,-33000,-9300,24899,-38706,-1702,-17005,3
0,49a1677,15,5,240,-970,14,0,,0
0,49a1677,9,18,-25,-999,,,,0
0,49a1677,10,-3,9,-23,,,,0
0,49a1677,11,15,-957,-289,-5,0,,
0,49a1677,3,326412,178519,1061,,,,0
0,49a1677,20,15,-957,-288,-5,0,,
0,49a38ba,4,102,7,-394,,,,3
0,49a38ba,16,-488,854,-1586,-591,846,-1192,3
0,49a38ba,1,21,-28,-1009,0,0,0,0
0,49a38ba,15,5,240,-970,14,0,,0
0,49a38ba,9,18,-25,-999,,,,0
0,49a38ba,10,2,-2,-10,,,,0
0,49a38ba,11,15,-957,-289,-5,0,,
0,49a38ba,3,326405,178519,1061,,,,0
0,49a38ba,20,15,-957,-288,-5,0,,
0,49a5b04,4,286,-541,276,,,,3
0,49a5b04,16,-305,305,-915,-591,846,-1192,3
0,49a5b04,1,14,-23,-1016,0,0,0,0
0,49a5b04,2,5106,-7897,42355,,,,3
0,49a5b04,14,-33600,-9600,25349,-38706,-1702,-17005,3
0,49a5b04,15,5,240,-970,14,0,,0
0,49a5b04,9,18,-25,-999,,,,0
0,49a5b04,10,-3,2,-16,,,,0
0,49a5b04,11,15,-957,-289,-5,0,,
0,49a5b04,3,326405,178519,1061,,,,0
0,49a5b04,20,15,-957,-288,-5,0,,
0,49a7d47,4,-202,-175,-28,,,,3
0,49a7d47,16,-793,671,-1220,-591,846,-1192,3
0,49a7d47,1,16,-18,-1022,0,0,0,0
0,49a7d47,15,5,240,-970,14,0,,0
0,49a7d47,9,18,-25,-999,,,,0
0,49a7d47,10,-2,7,-23,,,,0
0,49a7d47,11,15,-957,-289,-5,0,,
0,49a7d47,3,326405,178519,1061,,,,0
0,49a7d47,20,15,-957,-288,-5,0,,
0,49a9f97,4,164,-358,93,,,,3
0,49a9f97,16,-427,488,-1098,-591,846,-1192,3
0,49a9f97,1,20,-26,-1011,0,0,0,0
0,49a9f97,2,4956,-6247,41905,,,,3
0,49a9f97,14,-33750,-7950,24899,-38706,-1702,-17005,3
0,49a9f97,15,5,240,-970,14,0,,0
0,49a9f97,9,18,-25,-999,,,,0
0,49a9f97,10,1,0,-11,,,,0
0,49a9f97,11,15,-957,-289,-5,0,,
0,49a9f97,3,326398,178519,1061,,,,0
0,49a9f97,20,15,-957,-288,-5,0,,
0,49ac1db,4,102,-114,459,,,,3
0,49ac1db,16,-488,732,-732,-591,846,-1192,3
0,49ac1db,1,28,-20,-1012,0,0,0,0
0,49ac1db,15,5,240,-970,14,0,,0
0,49ac1db,9,18,-25,-999,,,,0
0,49ac1db,10,10,4,-12,,,,0
0,49ac1db,11,15,-957,-289,-5,0,,
0,49ac1db,3,326381,178519,1068,,,,0
0,49ac1db,20,15,-957,-288,-5,0,,
0,49ae425,4,-19,-53,93,,,,3
0,49ae425,16,-610,793,-1098,-591,846,-1192,3
0,49ae425,1,23,-28,-1020,0,0,0,0
0,49ae425,2,5406,-6697,43105,,,,3
0,49ae425,14,-33300,-8400,26099,-38706,-1702,-17005,3
0,49ae425,15,5,240,-970,14,0,,0
0,49ae425,9,18,-25,-999,,,,0
0,49ae425,10,4,-2,-21,,,,0
0,49ae425,11,15,-957,-289,-5,0,,
0,49ae425,3,326372,178519,1068,,,,0
0,49ae425,20,15,-957,-288,-5,0,,
0,49b066f,4,-446,-236,337,,,,3
0,49b066f,16,-1037,610,-854,-591,846,-1192,3
0,49b066f,1,20,-26,-1022,0,0,0,0
0,49b066f,15,5,240,-970,14,0,,0
0,49b066f,9,18,-25,-999,,,,0
0,49b066f,10,2,0,-23,,,,0
0,49b066f,11,15,-957,-289,-5,0,,
0,49b066f,3,326360,178519,1068,,,,0
0,49b066f,20,15,-957,-289,-5,0,,
0,49b28b6,4,-19,-114,398,,,,3
0,49b28b6,16,-610,732,-793,-591,846,-1192,3
0,49b28b6,1,16,-25,-1028,0,0,0,0
0,49b28b6,2,4206,-7297,40855,,,,3
0,49b28b6,14,-34500,-9000,23849,-38706,-1702,-17005,3
0,49b28b6,15,5,240,-970,14,0,,0
0,49b28b6,9,18,-25,-999,,,,0
0,49b28b6,10,-2,0,-29,,,,0
0,49b28b6,11,15,-957,-289,-5,0,,
0,49b28b6,3,326372,178519,1068,,,,0
0,49b28b6,20,15,-957,-288,-5,0,,
0,49b4afc,4,347,190,-150,,,,3
0,49b4afc,16,-244,1037,-1342,-591,846,-1192,3
0,49b4afc,1,19,-25,-1023,0,0,0,0
0,49b4afc,15,5,240,-970,14,0,,0
0,49b4afc,9,18,-25,-999,,,,0
0,49b4afc,10,0,0,-24,,,,0
0,49b4afc,11,15,-957,-289,-5,0,,
0,49b4afc,3,326381,178519,1068,,,,0
0,49b4afc,20,15,-957,-288,-5,0,,
0,49b6d49,4,-19,7,337,,,,3
0,49b6d49,16,-610,854,-854,-591,846,-1192,3
0,49b6d49,1,15,-30,-1020,0,0,0,0
0,49b6d49,2,4806,-7147,42055,,,,3
0,49b6d49,14,-33900,-8850,25049,-38706,-1702,-17005,3
0,49b6d49,15,5,240,-970,14,0,,0
0,49b6d49,9,18,-25,-999,,,,0
0,49b6d49,10,-3,-4,-21,,,,0
0,49b6d49,11,15,-957,-289,-5,0,,
0,49b6d49,3,326391,178519,1061,,,,0
0,49b6d49,20,15,-957,-288,-5,0,,
0,49b8f89,4,-19,-53,-89,,,,3
0,49b8f89,16,-610,793,-1281,-591,846,-1192,3
0,49b8f89,1,16,-33,-1020,0,0,0,0
0,49b8f89,15,5,240,-970,14,0,,0
0,49b8f89,9,18,-25,-999,,,,0
0,49b8f89,10,-2,-7,-21,,,,0
0,49b8f89,11,15,-957,-289,-5,0,,
0,49b8f89,3,326388,178519,1068,,,,0
0,49b8f89,20,15,-957,-288,-5,0,,
0,49bb1d6,4,225,7,215,,,,3
0,49bb1d6,16,-366,854,-976,-591,846,-1192,3
0,49bb1d6,1,2,-27,-1027,0,0,0,0
0,49bb1d6,2,6156,-6097,42355,,,,3
0,49bb1d6,14,-32550,-7800,25349,-38706,-1702,-17005,3
0,49bb1d6,15,5,240,-970,14,0,,0
0,49bb1d6,9,18,-26,-999,,,,0
0,49bb1d6,10,-16,-1,-28,,,,0
0,49bb1d6,11,15,-957,-289,-5,0,,
0,49bb1d6,3,326360,178512,1061,,,,0
0,49bb1d6,20,15,-957,-289,-4,0,,
0,49bd41d,4,286,129,337,,,,3
0,49bd41d,16,-305,976,-854,-591,846,-1192,3
0,49bd41d,1,20,-23,-1010,0,0,0,0
0,49bd41d,15,5,240,-970,14,0,,0
0,49bd41d,9,18,-26,-999,,,,0
0,49bd41d,10,1,2,-11,,,,0
0,49bd41d,11,15,-956,-289,-5,0,,
0,49bd41d,3,326337,178512,1061,,,,0
0,49bd41d,20,15,-957,-289,-4,0,,
0,49bf66b,4,-202,7,-211,,,,3
0,49bf66b,16,-793,854,-1403,-591,846,-1192,3
0,49bf66b,1,23,-31,-1021,0,0,0,0
0,49bf66b,2,5706,-6997,40855,,,,3
0,49bf66b,14,-33000,-8700,23849,-38706,-1702,-17005,3
0,49bf66b,15,5,240,-970,14,0,,0
0,49bf66b,9,18,-26,-999,,,,0
0,49bf66b,10,5,-5,-21,,,,0
0,49bf66b,11,15,-956,-289,-5,0,,
0,49bf66b,3,326321,178512,1061,,,,0
0,49bf66b,20,15,-957,-289,-4,0,,
0,49c18ab,4,-141,68,154,,,,3
0,49c18ab,16,-732,915,-1037,-591,846,-1192,3
0,49c18ab,1,23,-24,-1026,0,0,0,0
0,49c18ab,15,5,240,-970,14,0,,0
0,49c18ab,9,18,-26,-999,,,,0
0,49c18ab,10,4,1,-27,,,,0
0,49c18ab,11,15,-956,-289,-5,0,,
0,49c18ab,3,326295,178512,1068,,,,0
0,49c18ab,20,15,-957,-289,-5,0,,
0,49c3afb,4,-446,68,-394,,,,3
0,49c3afb,16,-1037,915,-1586,-591,846,-1192,3
0,49c3afb,1,21,-29,-1010,0,0,0,0
0,49c3afb,2,6156,-6097,41755,,,,3
0,49c3afb,14,-32550,-7800,24749,-38706,-1702,-17005,3
0,49c3afb,15,5,240,-970,14,0,,0
0,49c3afb,9,18,-26,-999,,,,0
0,49c3afb,10,2,-3,-11,,,,0
0,49c3afb,11,15,-956,-290,-5,0,,
0,49c3afb,3,326265,178512,1068,,,,0
0,49c3afb,20,15,-956,-289,-5,0,,
0,49c5d3b,4,102,7,276,,,,3
0,49c5d3b,16,-488,854,-915,-591,846,-1192,3
0,49c5d3b,1,26,-32,-1009,0,0,0,0
0,49c5d3b,15,5,240,-970,14,0,,0
0,49c5d3b,9,18,-26,-999,,,,0
0,49c5d3b,10,8,-6,-9,,,,0
0,49c5d3b,11,15,-956,-290,-5,0,,
0,49c5d3b,3,326260,178512,1068,,,,0
0,49c5d3b,20,15,-956,-289,-5,0,,
0,49c7f8c,4,164,-114,32,,,,3
0,49c7f8c,16,-427,732,-1159,-591,846,-1192,3
0,49c7f8c,1,25,-25,-1027,0,0,0,0
0,49c7f8c,2,5256,-6247,41605,,,,3
0,49c7f8c,14,-33450,-7950,24599,-38706,-1702,-17005,3
0,49c7f8c,15,5,240,-970,14,0,,0
0,49c7f8c,9,18,-26,-999,,,,0
0,49c7f8c,10,6,0,-28,,,,0
0,49c7f8c,11,15,-956,-290,-5,0,,
0,49c7f8c,3,326253,178512,1068,,,,0
0,49c7f8c,20,15,-956,-289,-6,0,,
0,49ca1cf,4,286,129,154,,,,3
0,49ca1cf,16,-305,976,-1037,-591,846,-1192,3
0,49ca1cf,1,15,-26,-1013,0,0,0,0
0,49ca1cf,15,5,240,-970,14,0,,0
0,49ca1cf,9,18,-26,-999,,,,0
0,49ca1cf,10,-3,0,-13,,,,0
0,49ca1cf,11,15,-956,-290,-5,0,,
0,49ca1cf,3,326239,178519,1068,,,,0
0,49ca1cf,20,15,-956,-290,-5,0,,
0,49cc41c,4,-80,-236,-272,,,,3
0,49cc41c,16,-671,610,-1464,-591,846,-1192,3
0,49cc41c,1,12,-25,-1024,0,0,0,0
0,49cc41c,2,4506,-8047,41155,,,,3
0,49cc41c,14,-34200,-9750,24149,-38706,-1702,-17005,3
0,49cc41c,15,5,240,-970,14,0,,0
0,49cc41c,9,18,-26,-999,,,,0
0,49cc41c,10,-6,0,-24,,,,0
0,49cc41c,11,15,-956,-290,-5,0,,
0,49cc41c,3,326244,178512,1068,,,,0
0,49cc41c,20,15,-956,-290,-5,0,,
0,49ce65e,4,-141,-114,-150,,,,3
0,49ce65e,16,-732,732,-1342,-591,846,-1192,3
0,49ce65e,1,14,-28,-1020,0,0,0,0
0,49ce65e,15,5,240,-970,14,0,,0
0,49ce65e,9,18,-26,-999,,,,0
0,49ce65e,10,-4,-2,-21,,,,0
0,49ce65e,11,15,-956,-290,-5,0,,
0,49ce65e,3,326270,178512,1068,,,,0
0,49ce65e,20,15,-956,-289,-5,0,,
0,49d08ae,4,164,7,-89,,,,3
0,49d08ae,16,-427,854,-1281,-591,846,-1192,3
0,49d08ae,1,24,-25,-1017,0,0,0,0
0,49d08ae,2,3306,-8647,41455,,,,3
0,49d08ae,14,-35400,-10350,24449,-38706,-1702,-17005,3
0,49d08ae,15,5,240,-970,14,0,,0
0,49d08ae,9,18,-26,-999,,,,0
